ID BV_kg ID_Orig
21 1347.4300782525 4154365
1403 -175.34324132268 3117597
1773 -278.26569988779 1382696
1931 348.96008552899 1391724
2516 679.58779443199 4133776
5177 1516.31574585498 1449965
5392 824.3145765961 9715662
5428 -48.09428174209 7406613
6770 -159.19570268661 1324673
7236 476.62341827223 1391062
7560 -337.74237840316 7421697
9651 1357.71380969462 2033471
10605 73.07184934251 7820675
10915 83.79317866419 3188833
11390 -255.27741830511 7836639
11785 1149.23557178115 8414660
12272 1087.50658154661 4126617
12700 435.45884063449 1506340
13032 1004.12526706689 4166142
15638 885.79938744206 5636696
15832 1271.4912698506 1532324
16526 641.5781408936 1344488
16836 412.06938085566 7614261
17148 -45.90830320045 6928693
19622 1161.79836023027 4122101
20307 1339.6967235976 7866253
20360 -69.6960948494 4172856
20731 536.67205783829 1606091
20891 851.92915436443 4159534
20959 495.68177878753 3109455
22122 1192.89413942705 7418398
23376 529.77517410569 7840269
24378 113.37426411546 3105052
24856 -111.72440586354 3094813
25894 132.09040016516 2051853
25980 70.7684828585 2050752
27382 739.29917167265 8618979
27808 953.61901834537 1417480
28301 866.88567376048 4212269
30346 683.13189466524 4090500
32204 642.47185973591 4170761
32849 365.66821074752 9368953
32871 1002.68779937533 4205772
33525 89.88641750385 1439388
33810 874.70364141886 4135309
33981 838.30728054098 2055374
34276 839.34409143748 1462068
34319 1059.06274869457 4138832
34705 587.11969527205 4178247
34910 121.00500792038 4152484
35253 729.31864845637 1345584
37813 216.59409908622 3131369
37907 466.86695558799 1581874
38711 43.09435721131 6937947
39027 726.81667927244 6025577
40599 919.12134883174 9364547
40927 1406.92381321308 3173097
40967 703.7693106176 1481025
42803 139.92462879096 5640322
44184 1086.29239496125 1407787
44195 979.21919539862 2052839
44643 559.19651872212 4202576
46214 324.91858638929 4207530
46376 943.03520717653 7421267
46674 252.04596653032 6022166
46875 1174.78619894175 4158316
46912 213.92706334878 3149978
46979 469.78884746934 4213365
48019 541.02231803391 1298899
48448 1164.20208422871 4167784
48459 648.22402884712 8313820
49503 790.35234373924 4191675
50499 102.99354218335 6917582
51646 -20.75262471078 1323560
53341 1924.11422019134 2062305
53467 816.00873379355 1562611
54000 414.95640271256 4180664
54132 287.66758798534 1583750
54630 611.4183224575 1335670
55177 784.89434850775 8504910
56016 966.3729423245 6921547
56976 207.70138064992 1530133
58755 1260.36115874271 1363854
58860 778.78088712547 4164148
59380 907.51005506246 1439271
59576 72.52071202608 1413508
59657 883.7318916326 1423637
60278 16.99075227444 1476594
60586 -212.87002967714 1483012
60659 792.46647784249 4136623
61151 502.39677359787 1531125
61440 489.29306860926 2070340
